"ID,""Description"",""GeneRatio"",""BgRatio"",""RichFactor"",""FoldEnrichment"",""zScore"",""pvalue"",""p.adjust"",""qvalue"",""geneID"",""Count"""
"GO:0086001,""cardiac muscle cell action potential"",""25/1653"",""88/18860"",0.284090909090909,3.24135181213221,6.53189615420394,8.13465998009815e-08,2.2153390679134e-05,1.86057410973373e-05,""7871/857/54795/801/6332/288/23327/775/11280/6546/2316/1756/477/2257/274/10052/3760/6326/781/776/3764/6330/287/3757/23704"",25"
"GO:0043583,""ear development"",""47/1653"",""238/18860"",0.197478991596639,2.25314808318972,6.03004966633685,9.48899798987414e-08,2.46670815927683e-05,2.07168889128209e-05,""3777/55636/9423/9474/3249/3209/7042/54360/51141/4919/2070/2247/54845/9241/613/84189/5396/2260/596/23493/51804/6657/2138/2562/3280/286262/2561/2737/8820/57216/2254/4646/5781/219736/650/117531/2263/10018/1909/55283/8825/6385/168667/10083/8642/7976/3638"",47"
"GO:0048839,""inner ear development"",""43/1653"",""210/18860"",0.204761904761905,2.33624290611586,6.03529940140055,1.14077731572491e-07,2.75023767133732e-05,2.30981391562975e-05,""3777/55636/9423/9474/3249/3209/7042/54360/51141/4919/2070/2247/54845/613/84189/5396/2260/23493/51804/6657/2138/2562/3280/286262/2561/2737/8820/57216/2254/4646/5781/219736/650/117531/2263/55283/8825/6385/168667/10083/8642/7976/3638"",43"
"GO:0042060,""wound healing"",""74/1653"",""453/18860"",0.163355408388521,1.86381306848609,5.7679374580728,1.1541476501503e-07,2.75023767133732e-05,2.30981391562975e-05,""23657/5465/57132/7414/91782/958/90102/1465/10979/2267/84830/7168/4638/5747/857/284/7980/23189/5058/10630/131566/7042/152/58189/3694/203859/196527/4882/2316/55966/5340/8573/2247/3678/9241/667/3818/4921/1365/10398/60/84962/26509/5592/23452/8324/4162/10413/348/3690/9068/301/64714/10218/11117/3570/25817/79625/3673/302/79057/57216/79056/23208/5578/3572/6385/114897/2192/2151/5028/7128/558/7124"",74"
"GO:0048738,""cardiac muscle tissue development"",""49/1653"",""255/18860"",0.192156862745098,2.19242494335907,5.94195670174661,1.23605027762556e-07,2.82758861509624e-05,2.37477785970756e-05,""5465/6443/113622/11149/7168/4629/10611/148/55636/5058/3192/9474/93649/80206/7042/57158/811/9215/6546/2247/9241/2260/51676/23493/5350/140628/5997/5592/8324/10052/10413/84525/4089/2242/3764/50507/10529/80000/4211/6444/983/2254/7049/8854/650/2263/1909/8932/55897"",49"
"GO:0060070,""canonical Wnt signaling pathway"",""59/1653"",""333/18860"",0.177177177177177,2.02151334637723,5.82917090937856,1.34562056451928e-07,2.89604107574319e-05,2.4322683260077e-05,""55959/25937/6907/83999/8321/4163/85407/7089/857/54795/23189/25960/51339/1454/8313/9037/340419/55206/7162/259266/25928/2247/9241/27303/169200/4693/1501/85458/8322/8324/7473/6657/10413/51704/348/4089/2308/83439/2719/81847/2309/1540/2737/27122/8820/23500/2254/650/406/2263/79705/1909/1001/57805/7855/1291/6663/55897/7976"",59"
"GO:0042063,""gliogenesis"",""62/1653"",""357/18860"",0.173669467787115,1.98149193131578,5.80287138583837,1.36725142586232e-07,2.89604107574319e-05,2.4322683260077e-05,""1746/1745/10100/1600/1272/4204/9423/7223/1902/8613/7042/5354/9215/1191/8851/4919/9331/2824/7846/5764/2247/9241/274/1464/57211/4693/7732/3400/2146/56978/6657/5179/6285/4915/4774/430/89927/257194/57721/4692/9444/3953/2250/3280/4137/6348/2737/6833/23500/983/4118/5781/2908/650/3912/3572/6237/5028/1291/6663/7124/147495"",62"
"GO:0060047,""heart contraction"",""50/1653"",""265/18860"",0.188679245283019,2.15274686390668,5.85736074997662,1.66786980276865e-07,3.40662407215497e-05,2.86108643234337e-05,""7220/64091/11149/7168/857/5144/148/54795/9474/801/6332/7042/10659/1908/57158/23327/493/775/11280/6546/2775/2316/1756/477/2257/1674/274/23493/5350/1573/5997/10052/3760/84525/6326/781/776/3764/6444/6330/287/7068/2946/153/1909/8912/3757/2934/23704/7124"",50"
"GO:0006939,""smooth muscle contraction"",""28/1653"",""110/18860"",0.254545454545455,2.90425122367046,6.20816323515136,1.80836357751429e-07,3.56621768958766e-05,2.99512268754908e-05,""55959/4638/857/4629/148/9475/93649/1908/152/493/1264/3778/11280/6546/477/10335/5997/5592/1136/59/3673/5286/2982/6865/219931/5733/1909/6525"",28"
"GO:0070252,""actin-mediated cell contraction"",""30/1653"",""124/18860"",0.241935483870968,2.76037702710614,6.09566755970881,2.23919126858684e-07,4.26864495501605e-05,3.58506307317956e-05,""55742/122786/7168/857/5144/54795/10630/6332/23327/775/11280/2316/477/2257/274/5350/10052/3760/6326/781/9444/776/59/3764/6444/6330/287/3757/2934/23704"",30"
