"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Metabolism of cofactors and vitamins","hsa00670","One carbon pool by folate","10/824","39/9564",0.256410256410256,2.97610156833458,3.79676783424068,0.00134652794039159,0.0107409089198678,0.00817475958915822,"10797/55349/501/2731/275/160428/23743/25902/2618/10841",10
"Organismal Systems","Endocrine system","hsa04924","Renin secretion","14/824","69/9564",0.202898550724638,2.35500211059519,3.46834267796523,0.00194746312359806,0.0151410215574606,0.0115236254296462,"3708/801/1908/775/111/3778/810/5732/776/117/5137/2982/153/1909",14
"Cellular Processes","Cellular community - eukaryotes","hsa04540","Gap junction","17/824","92/9564",0.184782608695652,2.14473406500633,3.3875260464364,0.00198643139966684,0.0151410215574606,0.0115236254296462,"3708/1902/107/111/7846/5579/56034/7277/10382/5592/84617/2767/2982/983/153/5578/347733",17
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","18/824","103/9564",0.174757281553398,2.02837213686493,3.22185031638218,0.0028289831474706,0.0210943743387482,0.0160546412030368,"7414/2774/5747/107/7042/1288/5295/87/338382/5579/7043/3909/2767/3918/5578/3912/1286/7124",18
"Metabolism","Nucleotide metabolism","hsa00230","Purine metabolism","21/824","128/9564",0.1640625,1.90423998786408,3.16227543861512,0.00293783741083979,0.021439962381235,0.0163176635585278,"8622/5144/107/4830/6241/111/4882/158067/144811/957/5471/4907/270/9583/5137/2982/8654/124583/5141/2618/10606",21
"Organismal Systems","Endocrine system","hsa04929","GnRH secretion","13/824","65/9564",0.2,2.32135922330097,3.28203797974473,0.00318300533650529,0.0227452256337774,0.0173110816546779,"408/7220/3708/7223/5295/775/1081/5579/3760/776/2767/5578/8912",13
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","14/824","73/9564",0.191780821917808,2.22596089905573,3.2283977037949,0.00337603612339215,0.0236322528637451,0.0179861860064716,"2948/316/1577/119391/2944/128/4129/1576/2330/2946/2940/2949/2953/2947",14
"Organismal Systems","Nervous system","hsa04727","GABAergic synapse","16/824","89/9564",0.179775280898876,2.08661503218065,3.16217623294654,0.00354526548702276,0.0243205212409761,0.0185100177006662,"107/775/111/2775/6540/55879/5579/10681/2562/5334/776/2560/6529/2561/5578/2786",16
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","32/824","227/9564",0.140969162995595,1.63620033360421,2.97857204458995,0.00366652361449296,0.0246591686229624,0.0187677576139165,"5747/3708/9475/107/801/811/5295/111/9586/2775/355/1029/4775/5579/810/4792/10681/64764/5732/4773/3690/90993/3570/2767/6348/3716/4776/5578/1978/5733/2786/7124",32
"Metabolism","Metabolism of other amino acids","hsa00480","Glutathione metabolism","12/824","59/9564",0.203389830508475,2.36070429488234,3.21898288966488,0.00391479460367317,0.0257362849363234,0.0195875361798625,"2882/6723/2948/6241/119391/2944/2878/2946/2940/2949/2953/2947",12
"Organismal Systems","Aging","hsa04211","Longevity regulating pathway","16/824","90/9564",0.177777777777778,2.06343042071197,3.11220797760632,0.00397674373651644,0.0257362849363234,0.0195875361798625,"9474/107/10891/5295/111/9586/5563/64764/3667/5565/2308/10645/90993/2309/1978/847",16
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","22/824","142/9564",0.154929577464789,1.79823601805005,2.94244876719337,0.00484906202352873,0.0308005235938955,0.0234418592950317,"858/5747/857/2948/801/5295/4880/119391/810/596/5563/60/2944/3690/2946/2940/2949/2953/2947/6385/6383/7124",22
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","34/824","251/9564",0.135458167330677,1.57223533052257,2.82079610231915,0.00529866238121469,0.0330443853955753,0.0251496319720812,"5063/10671/5289/9475/5058/51209/113146/2316/27072/7846/83657/4636/338382/26084/10398/7277/596/60/10382/84617/4792/9266/1781/83439/5286/302/1780/57381/4646/6237/9844/7124/4671/347733",34
"Cellular Processes","Cell motility","hsa04814","Motor proteins","28/824","197/9564",0.142131979695431,1.64969690996008,2.82910210339483,0.00564328059208158,0.0345650936264997,0.0263070223089517,"10671/24137/7168/7169/4651/4629/72/79819/7846/83657/4636/10398/7277/60/10382/84617/1781/57519/547/59/1780/7171/4646/4430/1767/23026/7802/347733",28
"Organismal Systems","Endocrine system","hsa04920","Adipocytokine signaling pathway","13/824","70/9564",0.185714285714286,2.15554785020804,2.97932106783145,0.00617201398028986,0.0371403648287618,0.0282670261701179,"5465/2182/10891/5563/4792/3667/5565/23205/10645/3953/32/5781/7124",13
"Metabolism","Lipid metabolism","hsa01040","Biosynthesis of unsaturated fatty acids","7/824","27/9564",0.259259259259259,3.0091693635383,3.20994436657049,0.00658740014199031,0.0389565215293565,0.0296492783160362,"3295/9200/79071/10965/9415/79966/3992",7
"Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","13/824","71/9564",0.183098591549296,2.12518802133188,2.92184720624636,0.00697680946857669,0.0405600957240984,0.0308697368101163,"2948/64816/6817/1577/119391/2944/1576/2946/2940/2949/2953/2947/9",13
