",""logFC"",""AveExpr"",""t"",""P.Value"",""adj.P.Val"",""B"",""GeneSymbol"""
"238576_at,0.638642008030999,5.79016563178729,4.22104324891317,0.000342090336831536,0.163723772374613,0.231027657078293,""MOCOS"""
"216677_at,0.634953094662701,3.96435087171415,4.21034617806784,0.000351210889660574,0.163723772374613,0.208801727591172,""ZNF154"""
"239207_at,0.610582897461494,7.55114543922074,4.20896084811151,0.000352409649839635,0.163723772374613,0.205923259693376,""KDM5C"""
"205330_at,1.08721379657619,6.28287874928626,4.20708157391418,0.000354042355521205,0.163723772374613,0.202018434200607,""MN1"""
"217890_s_at,0.689843291081491,8.47868152415066,4.20376805997351,0.000356939515700336,0.163723772374613,0.195133411402661,""PARVA"""
"1553960_at,0.647001032898864,7.60671216730168,4.20319030700697,0.000357447086590751,0.163723772374613,0.193932910542904,""SNX21"""
"221861_at,0.772634894553224,7.13501061261447,4.20294407226446,0.000357663628795087,0.163723772374613,0.193421263592646,""ARRB1"""
"200907_s_at,0.87608733310601,11.3577490599127,4.19671529031113,0.000363185012747846,0.163723772374613,0.180478411128437,""PALLD"""
"227971_at,1.73280586692782,6.44410372982214,4.19344261336264,0.000366119979205333,0.163723772374613,0.173677954496614,""NRK"""
"235479_at,-0.946588629715937,7.08675489857881,-4.191669515242,0.00036771997137871,0.163723772374613,0.169993512660352,""CPEB2"""
"1569974_x_at,-0.517052920647174,8.39179557382097,-4.19139580793382,0.000367967577071127,0.163723772374613,0.169424755475482,""SEPTIN7P2"""
"203261_at,0.517110363774677,9.96072729370536,4.18510996709744,0.000373699932967417,0.163723772374613,0.156362787072191,""DCTN6"""
"222192_s_at,1.42389225949862,5.91572960578888,4.18062621711658,0.000377843176230591,0.163723772374613,0.147045406615911,""LDAH"""
"238736_at,0.635733160423144,6.70869489176579,4.17628846647171,0.000381895064407169,0.163723772374613,0.138031309298944,""REV3L"""
"1559561_at,-0.647092838711067,4.76364201969137,-4.1749002072571,0.000383200959026353,0.163723772374613,0.135146405637957,""FBH1"""
"209379_s_at,0.540962365128991,9.12595210949508,4.17233584821202,0.00038562488711484,0.163723772374613,0.129817456817332,""CCSER2"""
"202132_at,0.710367741639388,8.90496084909256,4.17163262361502,0.000386292266202398,0.163723772374613,0.128356093106144,""WWTR1"""
"232989_s_at,0.789440637266314,5.29044347413062,4.16643786669999,0.000391258006650362,0.163723772374613,0.117560859691516,""CCDC136"""
"206599_at,1.01000269882349,6.28326670363445,4.15719200064561,0.000400254082358744,0.163723772374613,0.0983467834058747,""SLC16A5"""
"227138_at,0.854055234390873,7.55177895317969,4.14828271657235,0.000409117502334899,0.163723772374613,0.0798319858692222,""CRTAP"""
236982_at,0.839657589842401,4.89452190275364,4.14642333664629,0.000410991820417307,0.163723772374613,0.0759679094243699,NA
"240430_at,0.794524281941513,5.41677647041808,4.14567150780013,0.000411752114903476,0.163723772374613,0.0744054931881024,""KCMF1"""
"240432_x_at,0.65250035105814,7.94691146393337,4.14533418078229,0.000412093695244205,0.163723772374613,0.0737044755471876,""KLF7"""
215006_at,-0.598119328990625,4.49176501314393,-4.14439991789588,0.000413041211806633,0.163723772374613,0.0717629327176805,NA
"226819_at,0.784903566386174,4.55875659503938,4.129652398722,0.000428288552724536,0.163723772374613,0.0411153471676089,""LSM11"""
"215346_at,0.648805768202416,7.08043888177587,4.12208678049244,0.000436326726257106,0.163723772374613,0.025392970626517,""CD40"""
"241598_at,0.648070969646897,3.65523654139211,4.12122779231827,0.000437248807043368,0.163723772374613,0.0236078868400913,""NUDT10"""
"225390_s_at,0.689770629259379,7.88069926548246,4.11787143417584,0.00044087031985417,0.163723772374613,0.0166329820984723,""KLF13"""
"226829_at,0.766543756557249,7.75805482745061,4.11382254349174,0.000445278821017,0.163723772374613,0.00821896885091267,""AFAP1L2"""
"204948_s_at,0.860750073929833,6.06919632650824,4.10670240499236,0.000453138006036817,0.163723772374613,-0.00657723947934219,""FST"""
"208070_s_at,0.641576296670697,6.95835998994642,4.10104616437799,0.000459479587125787,0.163723772374613,-0.0183311627855565,""REV3L"""
"201867_s_at,0.779042758150403,7.30644749889263,4.10026346270619,0.00046036405135465,0.163723772374613,-0.0199576372095835,""TBL1X"""
"230865_at,2.37533105362474,6.95668022774662,4.09796279771855,0.000462973653852772,0.163723772374613,-0.0247384562123871,""LIX1"""
"218355_at,-0.958319373658989,4.73363525520685,-4.09531541946969,0.000465994739914375,0.163723772374613,-0.0302397072226688,""KIF4A"""
"223519_at,0.970995249442368,6.59193169723022,4.09485191167102,0.000466525690696001,0.163723772374613,-0.0312028712405015,""MAP3K20"""
"1556121_at,0.557768911738987,7.7314688873887,4.09363122598752,0.000467926873868033,0.163723772374613,-0.0337394350521478,""NAP1L1"""
"228260_at,-1.35810992700839,4.94456171382814,-4.09016830964692,0.000471924658252002,0.163723772374613,-0.0409352552035882,""ELAVL2"""
"214472_at,-1.16112896636422,4.45203318993136,-4.08647027204748,0.000476231393565233,0.163723772374613,-0.048619545026499,""H3C4"""
216534_at,-1.30860283522828,4.34430099243236,-4.08505996313495,0.000477884115742208,0.163723772374613,-0.0515500484367388,NA
"227662_at,1.05118906254924,8.82462088789711,4.08460181723437,0.000478422237284479,0.163723772374613,-0.0525020334430124,""SYNPO2"""
"233764_s_at,-0.611155169995531,6.66650412584222,-4.08335926944973,0.000479884724075797,0.163723772374613,-0.0550839241109218,""LARP1B"""
"235164_at,0.563183610501393,5.75024032458566,4.07933320574636,0.00048465403495432,0.163723772374613,-0.0634495879981198,""ZNF25"""
"237449_at,1.79059150100236,8.23231391825418,4.07768720663925,0.000486617446905944,0.163723772374613,-0.0668697272876937,""SP8"""
"240561_at,0.667951701167069,4.51442843888939,4.07682840003719,0.000487645002603322,0.163723772374613,-0.0686541881392797,""RAP2C-AS1"""
"213170_at,0.836795944312462,6.94952733731397,4.07384691168094,0.000491229105638459,0.163723772374613,-0.0748491801082336,""GPX7"""
"231118_at,1.12915455428496,6.26459495725029,4.07060842178519,0.000495151833981901,0.163723772374613,-0.0815780700942508,""ANKRD35"""
"239500_at,1.02908804628855,4.65710170782642,4.06674948654478,0.000499866778708202,0.163723772374613,-0.0895959636263965,""CLXN"""
"227794_at,-2.05971059232717,7.81711361863479,-4.06616379348578,0.000500586283816718,0.163723772374613,-0.0908128712811633,""GLYATL1"""
"227568_at,0.651026366952284,8.64294455139681,4.06240905026631,0.000505223382314597,0.163723772374613,-0.0986140902616794,""HECTD2"""
"202048_s_at,0.534497361152818,10.7860994779892,4.06094387545509,0.000507044428778553,0.163723772374613,-0.10165823368456,""CBX6"""
"208076_at,-0.981656515624671,3.81842189142834,-4.05875344629613,0.000509779058561276,0.163723772374613,-0.106209163487584,""H4C4"""
"237292_at,1.21951702316464,5.82039635461723,4.05417365346001,0.000515544130529992,0.163723772374613,-0.115724138953463,""DPYSL3"""
"235264_at,0.598348308344798,7.4342309190386,4.05011648245029,0.000520705419844558,0.163723772374613,-0.124153080712714,""HCFC2"""
"1569637_at,-0.57711142151557,4.69310684189796,-4.04930978913981,0.000521737749869551,0.163723772374613,-0.125828992402129,""ZNF736"""
"1569973_at,-0.527853094264655,8.35899408717617,-4.04356691203783,0.000529145949207854,0.163723772374613,-0.137759592904398,""SEPTIN7P2"""
"236644_at,0.631627494191091,4.27705206086034,4.04230399849037,0.000530789050136909,0.163723772374613,-0.140383180206802,""RNF180"""
"238218_at,1.39072968927436,5.10504282105565,4.04148678389249,0.000531854979284058,0.163723772374613,-0.142080855755209,""OOEP"""
"238054_at,-0.997406117937007,5.00797909492568,-4.04144590368502,0.000531908356965295,0.163723772374613,-0.142165779725385,""ADPRHL1"""
"1554418_s_at,1.23396164254907,5.91001998915642,4.04059597537171,0.000533019322957132,0.163723772374613,-0.143931403036608,""SPOCK3"""
235288_at,0.520643024383843,6.77520170612853,4.03675562159838,0.000538067970610134,0.164351208341391,-0.151909132092757,NA
"236208_at,0.6543050971214,6.20706438947592,4.03415149612515,0.000541518433692398,0.164486224234066,-0.157318656752785,""MOCS2"""
